omega,G''
0.01897776,1523.4135
0.03374688,2200.149
0.04250748,2433.057
0.06001056,3094.287
0.07558897,3402.41
0.10671384,4366.698
0.1344173,4839.065
0.1897656,6128.2725
0.2390302,6774.724
0.281212,7445.87
0.3004622,8088.366
0.3374544,8515.1115
0.42505185,9363.475
0.500061,10253.4
0.5343028,11164.56
0.6000732,11778.795
0.7558642,12870.77
0.889252,14030.4
0.9501159,15269.32
1.0671024,16044.84
1.3441305,17515.63
1.58133,18996.1
1.6895788,20616.75
1.897596,21618.765
2.3902085,23521.85
2.81201,25403.8
3.004527,27514.08
3.374412,28736.4
4.2504165,31233.84
5.00049,33575.1
5.342819,36252.81
6.000588,37641.87
7.5582765,40894.59
8.89209,43587.8
9.500931,46977.7
10.670508,48533.1
13.440625,52671.63
15.8125,55798.1
16.894971,59959.68
18.975,61472.145
23.900895,66677.38
28.1187,70188.5
30.04375,74950.48
33.74244,76345.185
42.5017,82735.18
50.002,86653.8
53.42553,92015.99
60.0024,92915.235
75.5786,100774.96
88.916,105000
95.0038,110598.4
106.6992,110763.45
134.39945,120453.3
158.117,124870
168.9404,130040.9
189.7404,129436.65
238.9962,141611.8
281.172,146049
300.4223,149901.4
337.4064,148797.6
425,165566.5
500,169359
534.2268,170086.4
600,170824.5
950,192801.4
