frecuencia_Sh170oC,G1_Sh170oC,G2_Sh170oC,frecuencia_Sh190oC,G1_Sh190oC,G2_Sh190oC,frecuencia_Sh210oC_ref,G1_Sh210oC_ref,G2_Sh210oC_ref,frecuencia_Sh230oC,G1_Sh230oC,G2_Sh230oC,frecuencia_Sh250oC,G1_Sh250oC,G2_Sh250oC
5.00E+02,3.43E+05,1.75E+05,5.00E+02,2.98E+05,1.63E+05,500,288545,169359,500,251301,150515,500,218582,137616
2.81E+02,2.79E+05,1.55E+05,2.81E+02,2.41E+05,1.42E+05,281.172,231412,146049,281.172,199744,128738,315.477,179203,120310
1.58E+02,2.26E+05,1.36E+05,1.58E+02,1.92E+05,1.23E+05,158.117,182623,124870,158.117,156375,109503,199.051,146499,105154
8.89E+01,1.79E+05,1.18E+05,8.89E+01,1.51E+05,1.05E+05,88.916,141545,105000,88.916,120746,91613.6,125.592,118516,91057.7
5.00E+01,1.39E+05,1.01E+05,5.00E+01,1.16E+05,8.85E+04,50.002,108073,86653.8,50.002,91516.8,75213.8,79.2422,94743.1,77870.9
2.81E+01,1.07E+05,8.37E+04,2.81E+01,8.79E+04,7.27E+04,28.1187,81183.4,70188.5,28.1187,68305.9,60615.8,49.998,74972.2,65873.4
1.58E+01,8.03E+04,6.81E+04,1.58E+01,6.55E+04,5.85E+04,15.8125,60144.9,55798.1,15.8125,50295.8,47883.3,31.5464,58668.4,54882
8.89E+00,5.96E+04,5.45E+04,8.89E+00,4.81E+04,4.62E+04,8.89209,43975.3,43587.8,8.89209,36564.7,37176.9,19.9043,45439.3,45151.8
5.00E+00,4.36E+04,4.27E+04,5.00E+00,3.48E+04,3.58E+04,5.00049,31760,33575.1,5.00049,26301.9,28394.4,12.5586,34878.8,36729
2.81E+00,3.15E+04,3.30E+04,2.81E+00,2.49E+04,2.74E+04,2.81201,22724.8,25403.8,2.81201,18728.2,21383.5,7.92395,26547.3,29542.2
1.58E+00,2.26E+04,2.50E+04,1.58E+00,1.76E+04,2.06E+04,1.58133,16066.5,18996.1,1.58133,13228.9,15923.3,4.99963,20058.6,23515.3
8.89E-01,1.60E+04,1.87E+04,8.89E-01,1.24E+04,1.53E+04,0.889252,11355.5,14030.4,0.889252,9269.49,11700.7,3.15454,15067.6,18530
5.00E-01,1.12E+04,1.39E+04,5.00E-01,8.59E+03,1.12E+04,0.500061,7857.97,10253.4,0.500061,6441.07,8512.25,1.99039,11244.9,14497.1
2.81E-01,7.84E+03,1.01E+04,2.81E-01,5.92E+03,8.11E+03,0.281212,5467.97,7445.87,0.281212,4457.2,6158.84,1.25583,8336.15,11208.9
1.58E-01,5.45E+03,7.35E+03,1.58E-01,4.06E+03,5.84E+03,,,,0.158138,3065.34,4399.15,0.792374,6159.25,8641.05
,,,8.89E-02,2.76E+03,4.16E+03,,,,0.0889282,2134.04,3093.1,0.499954,4534.14,6595.03
,,,5.00E-02,1.88E+03,2.95E+03,,,,0.0500088,1377.14,2211.87,0.315445,3324.96,5019.15
,,,2.81E-02,1.32E+03,2.10E+03,,,,,,,0.199032,2418.17,3805.66
,,,1.58E-02,9.44E+02,1.45E+03,,,,,,,0.12558,1766.42,2858.24
