time_PBR8,G_PBR8,time_HDPE,G_HDPE
0.038700,33200.000000,0.001000,106775376.505515
0.040700,31400.000000,0.002000,106686902.361854
0.042800,29700.000000,0.003000,106604073.290667
0.045000,28000.000000,0.004000,106526426.958435
0.047400,26500.000000,0.005000,106453539.482228
0.049900,25000.000000,0.006000,106385022.226598
0.052500,23600.000000,0.007000,106320518.867367
0.055200,22200.000000,0.008000,106259702.700053
0.058100,20900.000000,0.009000,106202274.172567
0.061100,19700.000000,0.010000,106147958.623478
0.064300,18500.000000,0.020000,105729710.301777
0.067600,17400.000000,0.030000,105443713.730240
0.071100,16400.000000,0.040000,105217677.047025
0.074800,15400.000000,0.050000,105020929.001432
0.078700,14400.000000,0.060000,104840271.473063
0.082800,13500.000000,0.070000,104669859.415642
0.087100,12700.000000,0.080000,104506957.938645
0.091700,11900.000000,0.090000,104350161.920374
0.096400,11100.000000,0.100000,104198647.569725
0.101000,10400.000000,0.200000,102889125.677732
0.107000,9760.000000,0.300000,101810651.034637
0.112000,9130.000000,0.400000,100862342.369795
0.118000,8530.000000,0.500000,100002941.603483
0.124000,7970.000000,0.600000,99213470.117630
0.131000,7440.000000,0.700000,98483506.094786
0.138000,6940.000000,0.800000,97806101.931583
0.145000,6470.000000,0.900000,97175883.414082
0.152000,6030.000000,1.000000,96588322.352173
0.160000,5620.000000,2.000000,92353903.835438
0.169000,5230.000000,3.000000,89753839.208749
0.177000,4860.000000,4.000000,87843294.840788
0.187000,4510.000000,5.000000,86266327.701285
0.196000,4190.000000,6.000000,84884415.713877
0.206000,3880.000000,7.000000,83639742.570364
0.217000,3590.000000,8.000000,82504834.406630
0.229000,3320.000000,9.000000,81463970.082353
0.240000,3070.000000,10.000000,80506286.224851
0.253000,2830.000000,20.000000,74048912.522897
,,30.000000,70576502.842000
,,40.000000,68229119.130472
,,50.000000,66322026.633826
,,60.000000,64602673.275413
,,70.000000,62977514.197002
,,80.000000,61411515.733407
,,90.000000,59891184.603035
,,100.000000,58410966.728951
,,200.000000,45489799.519671
,,300.000000,35427491.455578
,,400.000000,27590958.087858
,,500.000000,21487859.764514
,,600.000000,16734762.011132
,,700.000000,13033045.758783
,,800.000000,10150146.242746
,,900.000000,7904941.842140
,,1000.000000,6156374.896792
