Shear rate 1/s,Viscosity Pa.s
0.031416,3376.02
0.062832,3296.92
0.125664,3150.91
0.251328,3010.33
0.376992,2853.87
0.502656,2730.73
0.62832,2687.77
1.25664,2374.96
2.51328,2069.76
3.76992,1826.35
5.02656,1659.56
6.2832,1575.71
12.5664,1231.94
25.1328,950.011
37.6992,805.059
50.2656,703.297
62.832,632.676
63.68930773,632.4742949
79.2422,561.659
125.592,433.548
131.9975764,420.4763462
199.051,334.336
315.477,259.416
500,193.323
771.0960826,128.0921027
1561.829251,79.30537653
2677.43146,55.77831439
3261.317632,49.5409363
3826.487648,44.88591702
4196.542286,42.34328979
