plain_180_experiment_angularFrequency,plain_180_experiment_storageModulus,plain_180_experiment_lossModulus,plain_190_experiment_angularFrequency,plain_190_experiment_storageModulus,plain_190_experiment_lossModulus,plain_200_experiment_angularFrequency,plain_200_experiment_storageModulus,plain_200_experiment_lossModulus,3CNT_180_experiment_angularFrequency,3CNT_180_experiment_storageModulus,3CNT_180_experiment_lossModulus,3CNT_190_experiment_angularFrequency,3CNT_190_experiment_storageModulus,3CNT_190_experiment_lossModulus,3CNT_200_experiment_angularFrequency,3CNT_200_experiment_storageModulus,3CNT_200_experiment_lossModulus,plain_190_experiment_shearRate,plain_190_experiment_shearViscosity,3CNT_190_experiment_shearRate,3CNT_190_experiment_shearViscosity
628,153000,61200,628,142000,61400,628,138000,59900,628,124000,92400,628,112000,87600,628,98200,79400,27.25641012,2003.813948,21.71740474,515.1746568
628,151000,61000,628,141000,60800,628,135000,59100,628,122000,92300,628,111000,87600,628,96900,79400,60.96695883,1204.532913,48.56004346,435.2082922
518,142000,59300,518,132000,59200,518,123000,56300,518,109000,87100,518,96400,81300,518,84500,74300,137.0842994,701.6604917,109.5000574,308.6224971
373,129000,56900,373,119000,57000,373,111000,53600,373,91600,78500,373,79800,72500,373,69100,65800,306.4452684,414.2839385,246.8599216,207.468639
268,117000,54900,268,107000,54900,268,99000,51100,268,77100,70700,268,66400,64500,268,56900,58100,708.8810897,221.7008247,580.8849161,119.3084492
193,105000,52900,193,95700,52800,193,88200,48700,193,63900,63200,193,54700,57100,193,46600,51000,1634.314426,116.5002808,1384.718011,63.32802721
139,93900,50700,139,84400,50400,139,77900,46300,139,53000,55800,139,44800,50000,139,37900,44300,3822.521585,59.57526425,3452.165239,33.41089954
100,83100,48300,100,73700,47800,100,68200,43600,100,43300,48900,100,36300,43300,100,30500,38000,9108.541801,29.61492443,9382.831396,15.69316683
72,72900,45700,72,63600,45000,72,59000,40900,72,34800,42600,72,28800,37400,72,24300,32400,,,,
51.8,63500,42800,51.8,54400,41700,51.8,50900,38000,51.8,28100,36400,51.8,23200,31700,51.8,19300,27500,,,,
37.3,54800,39700,37.3,45800,38300,37.3,43300,34700,37.3,22500,30800,37.3,18500,26600,37.3,15300,22800,,,,
26.8,46700,36500,26.8,38100,34700,26.8,36500,31600,26.8,17900,25800,26.8,14700,22100,26.8,12200,18900,,,,
19.3,39300,33300,19.3,31400,31100,19.3,30500,28500,19.3,14300,21500,19.3,11600,18200,19.3,9670,15500,,,,
13.9,32800,30000,13.9,25500,27500,13.9,25100,25400,13.9,11400,17800,13.9,9280,15000,13.9,7720,12600,,,,
10,27000,26800,10,20500,24100,10,20500,22400,10,9100,14600,10,7430,12200,10,6210,10200,,,,
7.2,22000,23600,7.2,16300,20800,7.2,16500,19600,7.2,7350,11900,7.2,6010,9940,7.2,5050,8300,,,,
5.18,17700,20600,5.18,12800,17800,5.18,13100,17000,5.18,5990,9740,5.18,4940,8090,5.18,4170,6710,,,,
3.73,14000,17800,3.73,10000,15000,3.73,10300,14500,3.73,4940,7910,3.73,4120,6580,3.73,3490,5430,,,,
2.68,11000,15300,2.68,7720,12600,2.68,8000,12300,2.68,4130,6440,2.68,3490,5350,2.68,2970,4400,,,,
1.93,8530,12900,1.93,5900,10500,1.93,6120,10300,1.93,3510,5230,1.93,3010,4360,1.93,2560,3560,,,,
1.39,6540,10800,1.39,4480,8640,1.39,4610,8500,1.39,3030,4260,1.39,2640,3560,1.39,2260,2900,,,,
1,4940,8990,1,3370,7070,1,3430,6970,1,2680,3500,1,2350,2920,1,2040,2390,,,,
0.72,3670,7370,0.72,2500,5730,0.72,2510,5650,0.72,2400,2880,0.72,2120,2390,0.72,1900,1990,,,,
0.518,2700,5960,0.518,1830,4610,0.518,1810,4530,0.518,2180,2380,0.518,1930,1960,0.518,1770,1650,,,,
0.373,1940,4750,0.373,1330,3680,0.373,1290,3610,0.373,1980,1950,0.373,1760,1610,0.373,1650,1360,,,,
0.268,1380,3780,0.268,945,2900,0.268,911,2850,0.268,1800,1620,0.268,1660,1340,0.268,1580,1140,,,,
0.193,967,2980,0.193,661,2260,0.193,626,2200,0.193,1740,1380,0.193,1610,1150,0.193,1490,954,,,,
0.139,674,2330,0.139,460,1780,0.139,423,1690,0.139,1670,1150,0.139,1560,966,0.139,1450,815,,,,
0.1,462,1800,0.1,313,1370,0.1,274,1260,0.1,1610,981,0.1,1500,831,0.1,1420,717,,,,
