$_{master} \omega_{210°C}$,$_{master} {G^{\prime\prime}(\omega)}_{210°C}$,$_{master} {G^{\prime}(\omega)}_{210°C}$
0.01897776,1523.4134999999999,991.12755
0.03374688,2200.1490000000003,1391.1765
0.04250748,2433.0570000000002,1514.8540000000003
0.06001056,3094.2870000000003,1970.8605
0.07558896999999999,3402.4100000000003,2347.444
0.10671383999999999,4366.698,2893.1070000000004
0.1344173,4839.065,3371.8740000000003
0.1897656,6128.2725,4260.7845
0.23903019999999997,6774.724000000001,4902.92
0.28121199999999996,7445.87,5467.97
0.3004622,8088.366000000001,5994.725
0.33745439999999993,8515.1115,6210.8865000000005
0.42505184999999995,9363.475,7085.177000000001
0.500061,10253.4,7857.97
0.5343027999999999,11164.560000000001,8625.111
0.6000732,11778.795,9023.563500000002
0.7558642,12870.770000000002,10196.439
0.889252,14030.4,11355.5
0.9501158999999999,15269.320000000002,12370.270000000002
1.0671024,16044.84,12982.62
1.3441305,17515.63,14551.79
1.58133,18996.1,16066.5
1.6895788,20616.75,17607.81
1.8975959999999998,21618.765,18511.079999999998
2.3902085,23521.850000000002,20601.020000000004
2.81201,25403.8,22724.8
3.0045269999999995,27514.08,24831.290000000005
3.374412,28736.4,26145.210000000003
4.2504165,31233.840000000004,28932.090000000004
5.00049,33575.1,31760.0
5.3428189999999995,36252.810000000005,34684.98
6.000588,37641.87,36566.775
7.5582765,40894.590000000004,40221.17
8.89209,43587.8,43975.3
9.500931,46977.700000000004,47971.66
10.670508,48533.1,50454.39000000001
13.440624999999999,52671.630000000005,55325.380000000005
15.8125,55798.1,60144.9
16.894970999999998,59959.68000000001,65531.40000000001
18.974999999999998,61472.145000000004,68737.62000000001
23.900895,66677.38,75136.49
28.1187,70188.5,81183.4
30.04375,74950.48000000001,88279.95000000001
33.74244,76345.185,92260.35
42.50169999999999,82735.18000000001,100668.48000000001
50.001999999999995,86653.8,108073.0
53.425529999999995,92015.99,117350.20000000001
60.002399999999994,92915.235,122003.70000000001
75.5786,100774.96000000002,132820.6
88.916,105000.0,141545.0
95.00379999999998,110598.40000000001,153430.2
106.69919999999999,110763.45000000001,158319.0
134.39945,120453.3,172012.5
158.11700000000002,124870.0,182623.0
168.94039999999998,130040.90000000001,196821.90000000002
189.74040000000002,129436.65000000001,202016.85
238.99620000000002,141611.80000000002,219718.40000000002
281.172,146049.0,231412.0
300.4223,149901.40000000002,248191.90000000002
337.4064,148797.6,253236.90000000002
425.0,165566.5,276431.10000000003
500.0,169359.0,288545.0
534.2268,170086.40000000002,307406.0
600.0,170824.5,313238.10000000003
950.0,192801.40000000002,376900.7
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
