$\omega_{230°C}$,${G^{\prime}(\omega)}_{230°C}$,${G^{\prime\prime}(\omega)}_{230°C}$,$\omega_{210°C}$,${G^{\prime}(\omega)}_{210°C}$,${G^{\prime\prime}(\omega)}_{210°C}$,$\omega_{190°C}$,${G^{\prime}(\omega)}_{190°C}$,${G^{\prime\prime}(\omega)}_{190°C}$,$\omega_{170°C}$,${G^{\prime}(\omega)}_{170°C}$,${G^{\prime\prime}(\omega)}_{170°C}$,$\dot{\gamma}_{210°C}$,${\eta(\dot{\gamma})}_{210°C}$
500,251301,150515,500,288545,169359,500,298322,162690,500,342637,175274,5000,200
281.172,199744,128738,281.172,231412,146049,281.172,241178,141712,281.172,279460,154624,2000,300
158.117,156375,109503,158.117,182623,124870,158.117,192397,123273,158.117,225629,136274,1000,500
88.916,120746,91613.6,88.916,141545,105000,88.916,150780,105489,88.916,178929,118219,500,669.150769
50.002,91516.8,75213.8,50.002,108073,86653.8,50.002,116194,88490.7,50.002,139482,100544,281.172,973.2314565
28.1187,68305.9,60615.8,28.1187,81183.4,70188.5,28.1187,87867,72709.7,28.1187,106682,83650.9,158.117,1399.167572
15.8125,50295.8,47883.3,15.8125,60144.9,55798.1,15.8125,65464.4,58544.9,15.8125,80254.5,68136.8,88.916,1982.077894
8.89209,36564.7,37176.9,8.89209,43975.3,43587.8,8.89209,48051.8,46222,8.89209,59574,54508.8,50.002,2770.351558
5.00049,26301.9,28394.4,5.00049,31760,33575.1,5.00049,34825.5,35849.4,5.00049,43610.6,42707,28.1187,3816.608822
2.81201,18728.2,21383.5,2.81201,22724.8,25403.8,2.81201,24900.2,27368,2.81201,31531.8,32957.1,15.8125,5188.406526
1.58133,13228.9,15923.3,1.58133,16066.5,18996.1,1.58133,17629.6,20589.3,1.58133,22573.9,25012.8,8.89209,6963.162549
0.889252,9269.49,11700.7,0.889252,11355.5,14030.4,0.889252,12364.4,15280.8,0.889252,16007.1,18742.5,5.00049,9242.437662
0.500061,6441.07,8512.25,0.500061,7857.97,10253.4,0.500061,8593.87,11217.9,0.500061,11245.7,13881.2,2.81201,12121.1309
0.281212,4457.2,6158.84,0.281212,5467.97,7445.87,0.281212,5915.13,8109.63,0.281212,7841.01,10149.6,1.58133,15733.20802
0.158138,3065.34,4399.15,,,,0.158138,4057.89,5836.45,0.158138,5449.75,7353.06,0.889252,20297.86497
0.0889282,2134.04,3093.1,,,,0.0889282,2755.34,4158.76,,,,0.500061,25833.24934
0.0500088,1377.14,2211.87,,,,0.0500088,1877.01,2946.94,,,,0.281212,32850.4744
,,,,,,0.0281224,1324.93,2095.38,,,,,
,,,,,,0.0158148,943.931,1450.87,,,,,
